Linux 3.4.94 (localhost.localdomain) 	11/08/2017 	_x86_64_	(16 CPU)

08:40:23 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:40:25 PM     all      0.16      0.00      0.69      0.00      0.00     99.15
08:40:27 PM     all      2.72      0.00      0.28      0.00      0.00     97.00
08:40:29 PM     all      8.23      0.00      1.69      0.13      0.00     89.96
08:40:31 PM     all     18.06      0.09      1.99      0.00      0.00     79.86
08:40:33 PM     all     13.10      3.29      3.64      0.28      0.00     79.69
08:40:35 PM     all     12.19      1.50      4.57      0.25      0.00     81.48
08:40:37 PM     all      2.82      3.85      1.22      0.06      0.00     92.05
08:40:39 PM     all      0.34      0.00      0.13      0.00      0.00     99.53
08:40:41 PM     all      0.19      0.00      0.09      0.00      0.00     99.72
08:40:43 PM     all      0.47      0.06      0.19      0.00      0.00     99.28
08:40:45 PM     all      1.28      0.00      1.10      0.00      0.00     97.62
08:40:47 PM     all      2.25      0.00      0.53      0.00      0.00     97.21
08:40:49 PM     all      0.09      0.00      0.06      0.00      0.00     99.84
08:40:51 PM     all      1.47      0.00      0.31      0.00      0.00     98.21
08:40:53 PM     all      0.38      0.00      0.06      0.00      0.00     99.56
08:40:55 PM     all      0.44      0.03      0.78      0.00      0.00     98.75
08:40:57 PM     all      0.60      0.00      0.13      0.00      0.00     99.28
08:40:59 PM     all      0.34      0.00      0.13      0.00      0.00     99.53
08:41:01 PM     all      0.69      0.03      0.19      0.00      0.00     99.09
08:41:03 PM     all      0.38      0.00      0.06      0.00      0.00     99.56
08:41:05 PM     all      0.56      0.00      0.88      0.00      0.00     98.56
08:41:07 PM     all      0.63      0.00      0.25      0.00      0.00     99.12
08:41:09 PM     all      0.44      0.03      0.16      0.00      0.00     99.37
08:41:11 PM     all      0.56      0.00      0.19      0.00      0.00     99.25
08:41:13 PM     all      0.44      0.00      0.06      0.00      0.00     99.50
08:41:15 PM     all      0.19      0.00      0.28      0.03      0.00     99.50
08:41:17 PM     all      0.72      0.00      0.25      0.00      0.00     99.03
08:41:19 PM     all      0.41      0.00      0.06      0.00      0.00     99.53
08:41:21 PM     all      0.66      0.00      0.16      0.00      0.00     99.19
08:41:23 PM     all      0.41      0.00      0.09      0.00      0.00     99.50
08:41:25 PM     all      0.22      0.00      0.66      0.00      0.00     99.12
08:41:27 PM     all      0.69      0.03      0.38      0.00      0.00     98.91
08:41:29 PM     all      0.91      0.00      0.19      0.00      0.00     98.90
08:41:31 PM     all      0.28      0.00      0.13      0.00      0.00     99.59
08:41:33 PM     all      0.00      0.03      0.00      0.00      0.00     99.97
08:41:35 PM     all      0.06      0.00      0.72      0.00      0.00     99.22
08:41:37 PM     all      0.25      0.00      0.13      0.00      0.00     99.62
08:41:39 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
08:41:41 PM     all      0.25      0.00      0.13      0.00      0.00     99.62
08:41:43 PM     all      0.13      0.00      0.06      0.00      0.00     99.81
08:41:45 PM     all      1.03      0.00      0.85      0.00      0.00     98.12
08:41:47 PM     all      0.28      0.00      0.09      0.00      0.00     99.62
08:41:49 PM     all      0.28      0.00      0.09      0.00      0.00     99.62
08:41:51 PM     all      0.19      0.00      0.03      0.00      0.00     99.78
08:41:53 PM     all      1.06      0.03      0.25      0.00      0.00     98.65
