Linux 3.18.58 (localhost.localdomain) 	12/12/2017 	_x86_64_	(16 CPU)

07:31:20 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:22 PM     all      0.44      0.00      0.06      0.00      0.00     99.50
07:31:24 PM     all      5.75      0.00      0.63      0.03      0.00     93.59
07:31:26 PM     all     17.05      0.00      2.04      0.34      0.00     80.57
07:31:28 PM     all     15.69      3.07      2.38      0.09      0.00     78.77
07:31:30 PM     all     10.92      0.60      4.27      0.35      0.00     83.87
07:31:32 PM     all      7.19      4.87      2.51      0.09      0.00     85.34
07:31:34 PM     all      0.56      0.03      0.19      0.00      0.00     99.22
07:31:36 PM     all      0.25      0.00      0.66      0.00      0.00     99.09
07:31:38 PM     all      0.09      0.00      0.06      0.00      0.00     99.84
07:31:40 PM     all      0.50      0.06      0.25      0.00      0.00     99.19
07:31:42 PM     all      3.29      0.03      0.78      0.03      0.00     95.87
07:31:44 PM     all      0.44      0.00      0.13      0.00      0.00     99.44
07:31:46 PM     all      0.53      0.00      0.69      0.09      0.00     98.68
07:31:48 PM     all      0.44      0.00      0.09      0.00      0.00     99.47
07:31:50 PM     all      0.34      0.00      0.09      0.00      0.00     99.56
07:31:52 PM     all      0.41      0.06      0.13      0.00      0.00     99.41
07:31:54 PM     all      0.34      0.00      0.06      0.00      0.00     99.59
07:31:56 PM     all      0.47      0.00      0.69      0.00      0.00     98.84
07:31:58 PM     all      0.34      0.00      0.09      0.00      0.00     99.56
07:32:00 PM     all      0.44      0.00      0.19      0.00      0.00     99.37
07:32:02 PM     all      0.34      0.00      0.09      0.00      0.00     99.56
07:32:04 PM     all      0.41      0.00      0.16      0.00      0.00     99.44
07:32:06 PM     all      0.34      0.03      0.31      0.03      0.00     99.28
07:32:08 PM     all      0.28      0.00      0.06      0.00      0.00     99.66
07:32:10 PM     all      0.38      0.00      0.09      0.00      0.00     99.53
07:32:12 PM     all      1.03      0.03      0.31      0.00      0.00     98.62
07:32:14 PM     all      0.60      0.00      0.09      0.00      0.00     99.31
07:32:16 PM     all      0.09      0.00      0.53      0.00      0.00     99.37
07:32:18 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:32:20 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:32:22 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:32:24 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
07:32:26 PM     all      0.06      0.00      0.53      0.00      0.00     99.40
07:32:28 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:32:30 PM     all      0.53      0.00      0.19      0.00      0.00     99.28
07:32:32 PM     all      0.50      0.00      0.09      0.00      0.00     99.41
07:32:34 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
07:32:36 PM     all      0.06      0.00      0.56      0.00      0.00     99.37
07:32:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:32:40 PM     all      0.03      0.03      0.03      0.00      0.00     99.91
07:32:42 PM     all      1.38      0.00      0.31      0.00      0.00     98.31
07:32:44 PM     all      0.06      0.00      0.06      0.00      0.00     99.88
07:32:46 PM     all      0.75      0.00      0.28      0.00      0.00     98.97
07:32:48 PM     all      0.72      0.00      0.09      0.00      0.00     99.19
07:32:50 PM     all      2.01      0.00      0.50      0.00      0.00     97.49
07:32:52 PM     all      0.88      0.00      0.09      0.00      0.00     99.03
07:32:54 PM     all      0.69      0.00      0.06      0.00      0.00     99.25
07:32:56 PM     all      0.81      0.00      0.63      0.00      0.00     98.56
07:32:58 PM     all      0.91      0.00      0.09      0.00      0.00     99.00
07:33:00 PM     all      0.78      0.03      0.25      0.00      0.00     98.94
07:33:02 PM     all      1.03      0.00      0.13      0.00      0.00     98.84
07:33:04 PM     all      0.63      0.00      0.09      0.00      0.00     99.28
07:33:06 PM     all      0.69      0.00      0.63      0.00      0.00     98.68
07:33:08 PM     all      0.53      0.00      0.06      0.00      0.00     99.41
07:33:10 PM     all      0.09      0.00      0.03      0.00      0.00     99.87
07:33:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:33:14 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:33:16 PM     all      0.06      0.00      0.56      0.00      0.00     99.37
07:33:18 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:33:20 PM     all      0.91      0.00      0.16      0.00      0.00     98.94
07:33:22 PM     all      0.59      0.00      0.06      0.00      0.00     99.34
07:33:24 PM     all      0.44      0.00      0.09      0.00      0.00     99.47
07:33:26 PM     all      0.44      0.00      0.25      0.00      0.00     99.31
07:33:28 PM     all      1.00      0.00      0.22      0.00      0.00     98.78
07:33:30 PM     all      1.25      0.00      0.22      0.00      0.00     98.53
07:33:32 PM     all      0.88      0.00      0.13      0.00      0.00     99.00
07:33:34 PM     all      0.88      0.06      0.22      0.00      0.00     98.84
